creation_year	parent_page_title	year	revid	num_ills_that_year
2002.0	Wikipedia:Naming conventions (Korean)	2015	3	2
2002.0	Wikipedia:Naming conventions (Korean)	2016	9	2
2002.0	Wikipedia:Naming conventions (Korean)	2017	3	2
2002.0	Wikipedia:Naming conventions (Korean)	2019	40	2
2002.0	Wikipedia:Naming conventions (Korean)	2020	15	2
2002.0	Wikipedia:Naming conventions (plurals)	2002	21	1
2002.0	Wikipedia:Naming conventions (plurals)	2003	29	2
2002.0	Wikipedia:Naming conventions (plurals)	2004	10	2
2002.0	Wikipedia:Naming conventions (plurals)	2005	32	2
2002.0	Wikipedia:Naming conventions (plurals)	2006	4	2
2002.0	Wikipedia:Naming conventions (plurals)	2007	8	2
2002.0	Wikipedia:Naming conventions (plurals)	2008	13	2
2002.0	Wikipedia:Naming conventions (plurals)	2009	39	2
2002.0	Wikipedia:Naming conventions (plurals)	2010	7	2
2002.0	Wikipedia:Naming conventions (plurals)	2011	14	2
2002.0	Wikipedia:Naming conventions (plurals)	2012	11	2
2002.0	Wikipedia:Naming conventions (plurals)	2013	5	2
2002.0	Wikipedia:Naming conventions (plurals)	2014	66	2
2002.0	Wikipedia:Naming conventions (plurals)	2015	31	2
2002.0	Wikipedia:Naming conventions (plurals)	2016	14	2
2002.0	Wikipedia:Naming conventions (plurals)	2017	102	2
2002.0	Wikipedia:Naming conventions (plurals)	2018	5	2
2002.0	Wikipedia:Naming conventions (plurals)	2019	27	2
2002.0	Wikipedia:Naming conventions (plurals)	2020	19	2
2002.0	Wikipedia:Naming conventions (royalty and nobility)	2002	5	1
2002.0	Wikipedia:Naming conventions (royalty and nobility)	2003	28	1
2002.0	Wikipedia:Naming conventions (royalty and nobility)	2004	29	1
2002.0	Wikipedia:Naming conventions (royalty and nobility)	2005	143	1
2002.0	Wikipedia:Naming conventions (royalty and nobility)	2006	938	1
2002.0	Wikipedia:Naming conventions (royalty and nobility)	2007	518	1
2002.0	Wikipedia:Naming conventions (royalty and nobility)	2008	934	1
2002.0	Wikipedia:Naming conventions (royalty and nobility)	2009	400	1
2002.0	Wikipedia:Naming conventions (royalty and nobility)	2010	2069	1
2002.0	Wikipedia:Naming conventions (royalty and nobility)	2011	455	1
2002.0	Wikipedia:Naming conventions (royalty and nobility)	2012	144	1
2002.0	Wikipedia:Naming conventions (royalty and nobility)	2013	133	1
2002.0	Wikipedia:Naming conventions (royalty and nobility)	2014	43	1
2002.0	Wikipedia:Naming conventions (royalty and nobility)	2015	157	1
2002.0	Wikipedia:Naming conventions (royalty and nobility)	2016	153	1
2002.0	Wikipedia:Naming conventions (royalty and nobility)	2017	14	1
2002.0	Wikipedia:Naming conventions (royalty and nobility)	2018	40	1
2002.0	Wikipedia:Naming conventions (royalty and nobility)	2019	31	1
2002.0	Wikipedia:Naming conventions (royalty and nobility)	2020	273	1
2002.0	Wikipedia:Naming conventions (ships)	2002	16	2
2002.0	Wikipedia:Naming conventions (ships)	2003	46	2
2002.0	Wikipedia:Naming conventions (ships)	2004	72	2
2002.0	Wikipedia:Naming conventions (ships)	2005	77	2
2002.0	Wikipedia:Naming conventions (ships)	2006	35	2
2002.0	Wikipedia:Naming conventions (ships)	2007	53	3
2002.0	Wikipedia:Naming conventions (ships)	2008	315	3
2002.0	Wikipedia:Naming conventions (ships)	2009	59	3
2002.0	Wikipedia:Naming conventions (ships)	2010	467	3
2002.0	Wikipedia:Naming conventions (ships)	2011	116	3
2002.0	Wikipedia:Naming conventions (ships)	2012	23	3
2002.0	Wikipedia:Naming conventions (ships)	2013	46	3
2002.0	Wikipedia:Naming conventions (ships)	2014	21	3
2002.0	Wikipedia:Naming conventions (ships)	2015	17	3
2002.0	Wikipedia:Naming conventions (ships)	2016	28	3
2002.0	Wikipedia:Naming conventions (ships)	2017	63	3
2002.0	Wikipedia:Naming conventions (ships)	2018	79	3
2002.0	Wikipedia:Naming conventions (ships)	2019	50	3
2002.0	Wikipedia:Naming conventions (ships)	2020	60	3
2002.0	Wikipedia:Naming conventions (use English)	2002	5	1
2002.0	Wikipedia:Naming conventions (use English)	2003	11	1
2002.0	Wikipedia:Naming conventions (use English)	2004	2	1
2002.0	Wikipedia:Naming conventions (use English)	2005	148	1
2002.0	Wikipedia:Naming conventions (use English)	2006	244	1
